iter	RMSE
0	903.8620335
1	897.845812
2	891.2748919
3	884.2893549
4	880.6286278
5	875.9547309
6	870.4875632
7	862.5511573
8	857.7838704
9	851.6468698
10	846.6076803
11	840.2603977
12	834.5766898
13	829.1082846
14	824.3071937
15	819.0265941
16	813.2392147
17	807.5589397
18	802.9769933
19	798.0244863
20	791.8446631
21	785.3209406
22	780.713028
23	776.0145555
24	771.0529471
25	768.4905173
26	763.8289617
27	759.0762222
28	755.2321439
29	751.342415
30	747.4771571
31	743.2758323
32	739.1624602
33	735.754625
34	733.0616521
35	730.11039
36	726.0618692
37	722.111345
38	718.8480223
39	714.9660229
40	709.4350892
41	705.0243644
42	701.3854659
43	697.4191354
44	693.2025118
45	689.5035547
46	685.6686076
47	681.2733615
48	677.2864404
49	673.4271706
50	670.2373781
51	667.4857906
52	664.0145733
53	661.4696992
54	658.3916781
55	655.1224685
56	652.3792004
57	649.5260883
58	645.6708657
59	641.8062033
60	638.5317968
61	636.0370816
62	633.785234
63	631.0113369
64	626.6413567
65	623.5153965
66	621.6797558
67	618.1781587
68	615.4860937
69	612.522478
70	608.6759193
71	605.7606271
72	603.3646811
73	600.8859658
74	597.2730313
75	595.0776063
76	592.7102854
77	589.0745433
78	586.9818604
79	584.1758769
80	582.4580324
81	581.1659772
82	578.6294607
83	576.2342524
84	573.6103296
85	571.2715859
86	568.517824
87	567.0340772
88	563.8781023
89	562.287249
90	559.8815189
91	557.1646724
92	553.4285386
93	550.8385938
94	547.455968
95	544.9905644
96	542.1263248
97	539.5151279
98	536.0555048
99	534.4186172
100	532.2815846
101	530.3706893
102	527.0485715
103	525.2359148
104	523.8060584
105	522.3689857
106	520.8539094
107	518.6378778
108	515.8693111
109	513.0568794
110	510.5353395
111	508.2110476
112	505.4957197
113	503.3242619
114	501.0723085
115	499.2289479
116	497.2546807
117	495.461801
118	493.5033528
119	491.4267082
120	489.7905452
121	488.6320586
122	487.3457505
123	485.8597972
124	483.7996698
125	482.1126927
126	479.8153197
127	477.4058486
128	475.7535757
129	473.822871
130	472.1094943
131	470.4018087
132	468.0156699
133	466.2826282
134	464.541239
135	463.7700307
136	461.8015354
137	459.6106898
138	458.1380099
139	456.1112653
140	454.1238493
141	453.3598793
142	452.1679082
143	450.9865644
144	448.9154556
145	447.3940553
146	445.7250302
147	443.9505712
148	442.8258054
149	441.2439364
150	440.4148755
151	439.2926923
152	437.5710116
153	436.2076179
154	433.4586739
155	430.9930549
156	429.1138683
157	427.4592979
158	426.4105104
159	424.95185
160	422.9640744
161	422.0486388
162	421.0970257
163	419.480123
164	417.0774079
165	415.910296
166	414.0628957
167	413.0079439
168	411.7381083
169	411.0193681
170	409.6555451
171	408.7890688
172	406.9997106
173	405.3679877
174	404.6801992
175	402.8514993
176	401.2982112
177	400.6722978
178	400.0305691
179	398.3527756
180	397.500061
181	396.563363
182	394.8727477
183	393.1511562
184	391.7362884
185	390.4573181
186	388.2069121
187	387.0715299
188	385.9053687
189	385.2448851
190	383.5507221
191	381.6796749
192	379.70011
193	378.0661413
194	376.9650458
195	375.8318119
196	374.274393
197	373.2322125
198	371.7049156
199	371.1387416
200	369.3237873
201	367.7301757
202	366.4539753
203	365.9258816
204	364.771369
205	364.0901733
206	362.6519744
207	361.3710855
208	360.1300358
209	358.2628402
210	356.8410176
211	356.4569993
212	355.752021
213	353.7436222
214	353.3196517
215	352.8649008
216	352.1314076
217	349.8854146
218	349.4072867
219	348.4083626
220	346.0371727
221	344.3669672
222	343.2052145
223	342.4287599
224	341.0851955
225	340.6061974
226	339.3142302
227	337.5287939
228	336.2583233
229	334.6764473
230	334.3189991
231	332.4615814
232	331.4776548
233	330.0055046
234	329.485628
235	328.1499579
236	326.5871765
237	325.8845843
238	325.4480416
239	324.0455479
240	322.5432774
241	322.2162252
242	321.2941905
243	320.0005931
244	318.6292409
245	317.6393819
246	316.2142816
247	315.8827716
248	314.6901777
249	314.2674287
250	312.3930443
251	310.4862041
252	310.103831
253	308.8738316
254	308.3752297
255	308.0118962
256	307.4619894
257	305.9461789
258	305.5984199
259	304.5821977
260	302.9801611
261	301.6539827
262	301.3870128
263	300.2452927
264	298.7681862
265	297.2624624
266	297.0015341
267	295.7489166
268	295.3989043
269	294.6626169
270	292.5300091
271	292.0844729
272	290.6564129
273	290.0410483
274	288.9026218
275	288.0508115
276	287.7913717
277	286.3984253
278	285.7236657
279	284.3866321
280	282.9395166
281	281.7758746
282	281.4071311
283	279.7660667
284	277.9791409
285	277.4165272
286	276.4594841
287	275.5274166
288	274.2591479
289	273.5665446
290	272.7356331
291	272.5097449
292	271.9852361
293	271.3759094
294	271.1755414
295	270.2137956
296	269.176667
297	268.7345132
298	268.2014391
299	267.9338792
300	266.3527257
301	264.5328534
302	262.2994159
303	261.6645337
304	261.381437
305	259.8703657
306	259.6866976
307	257.8893074
308	257.6400591
309	257.3962203
310	256.1896799
311	255.9112663
312	254.7468596
313	253.901259
314	253.2776471
315	252.6243438
316	251.1765851
317	250.0487661
318	248.1763834
319	247.9310801
320	247.1752038
321	245.859097
322	244.6010733
323	243.2917522
324	243.1105903
325	242.3199835
326	241.6102252
327	241.4331799
328	240.0483137
329	238.9257193
330	238.02442
331	237.1176381
332	236.9541574
333	235.9788594
334	234.6408509
335	233.2602019
336	232.4985653
337	232.2521834
338	230.6992516
339	230.5460221
340	229.6399197
341	228.120026
342	226.7113715
343	226.5612085
344	226.2323548
345	225.2284489
346	224.1062836
347	223.2819263
348	222.2763877
349	221.0408724
350	220.8764383
351	220.0185943
352	219.5851236
353	218.6961601
354	217.2234253
355	216.5461312
356	216.2023841
357	215.1623758
358	214.2502082
359	213.9200164
360	212.4151762
361	211.4986067
362	210.4301147
363	209.1746309
364	209.0014638
365	208.8562711
366	207.7760492
367	207.6389231
368	206.5017794
369	205.9036132
370	205.7217486
371	204.7523325
372	203.7619584
373	202.8944085
374	202.0817082
375	201.2364872
376	200.6349184
377	199.2144344
378	198.9643132
379	197.9487698
380	197.1965709
381	195.8570422
382	195.7061372
383	194.2251576
384	193.6540581
385	192.7352931
386	192.5891313
387	192.2111045
388	191.4848194
389	190.8314087
390	189.7659878
391	188.927235
392	188.1891743
393	188.0479603
394	187.1920287
395	186.6741226
396	186.1169852
397	185.9819596
398	185.8457463
399	185.0544479
400	184.3321331
401	183.3772163
402	182.7933214
403	181.9913654
404	181.0684179
405	180.6711384
406	179.7783259
407	178.5963953
408	177.8700488
409	176.9416398
410	176.1145507
411	175.9858776
412	175.1113153
413	174.035042
414	173.1460617
415	172.0409328
416	171.174802
417	170.1906909
418	169.2919381
419	168.6839371
420	167.7794817
421	167.5086625
422	166.8907714
423	166.079901
424	165.068807
425	164.1236858
426	163.4763374
427	162.6631322
428	162.544116
429	161.5869632
430	161.1308317
431	160.1761175
432	160.0662908
433	159.262422
434	158.504915
435	157.8039653
436	156.7370305
437	155.7729874
438	154.8697029
439	154.3321735
440	153.4546184
441	153.0250498
442	152.5089137
443	151.6384986
444	151.1446931
445	150.3268304
446	150.2260776
447	149.8811201
448	148.9826615
449	148.8266021
450	147.9843597
451	147.3443889
452	146.5423425
453	145.8854866
454	144.8505291
455	143.9614251
456	143.3993278
457	143.1216831
458	142.232121
459	141.6903731
460	141.5667647
461	141.0671884
462	140.3790798
463	139.5611426
464	138.876957
465	138.2712404
466	137.4603101
467	136.6985116
468	136.1822353
469	135.5705615
470	135.3316193
471	134.7911063
472	134.1168812
473	133.4675228
474	132.8997751
475	132.2748426
476	131.8304622
477	131.1656851
478	130.6039543
479	130.5242055
480	129.976769
481	129.3958797
482	128.5139461
483	128.0068141
484	127.3294323
485	126.8561161
486	126.7709096
487	126.0710207
488	125.5931975
489	125.1553517
490	124.3818999
491	123.4607721
492	123.3775875
493	122.6971543
494	122.3928004
495	121.9579224
496	121.5247452
497	121.182398
498	120.5571869
499	120.4311869
500	119.6689965
501	119.0000005
502	118.8086649
503	118.4236643
504	117.9587902
505	117.4798248
506	116.8425211
507	116.7719158
508	116.3759074
509	115.7356382
510	115.3000672
511	115.1591918
512	114.9465136
513	114.5293284
514	114.1879872
515	113.4303832
516	113.0728406
517	112.5432397
518	111.9462464
519	111.2533144
520	110.9282215
521	110.3250932
522	110.2602885
523	109.87837
524	109.4967043
525	108.9351986
526	108.1742827
527	107.6060527
528	107.0284684
529	106.616947
530	106.066877
531	105.9900361
532	105.5388408
533	104.9849726
534	104.312302
535	104.2580944
536	103.96361
537	103.6104586
538	103.5290518
539	103.3439317
540	102.9352753
541	102.4468885
542	102.077633
543	101.5159805
544	101.443767
545	100.9157251
546	100.8441494
547	100.353055
548	100.1643239
549	99.99917329
550	99.50361226
551	99.2076607
552	98.54088943
553	98.395266
554	98.05495839
555	97.64849056
556	97.06139582
557	96.99385253
558	96.78238851
559	96.15832331
560	95.60326617
561	95.00917216
562	94.49180564
563	94.02467964
564	93.96865703
565	93.41187779
566	93.20475467
567	92.88355419
568	92.54322105
569	92.38781627
570	92.3250841
571	91.86941027
572	91.57285966
573	91.04576912
574	90.62002408
575	90.19242853
576	89.63656083
577	89.17350138
578	88.80512702
579	88.61629372
580	88.26796088
581	88.12520281
582	87.64285019
583	87.59641476
584	87.30409595
585	87.01701628
586	86.70041192
587	86.31243075
588	86.13563178
589	85.72422407
590	85.34564998
591	85.28612813
592	84.81559235
593	84.39736621
594	84.07829184
595	83.59302814
596	83.05763416
597	82.47526
598	82.41909209
599	81.92556936
600	81.86645241
601	81.49374
602	81.29692124
603	80.66726129
604	80.35297873
605	80.02172967
606	79.82541813
607	79.44805327
608	79.15981353
609	78.6781861
610	78.26236058
611	78.21988062
612	78.01009952
613	77.82012411
614	77.59087938
615	77.24613216
616	77.04385193
617	76.71962426
618	76.66565514
619	76.62041911
620	76.09398674
621	75.84051874
622	75.79836844
623	75.41389377
624	74.99448424
625	74.7051745
626	74.44529991
627	74.11638579
628	73.76556506
629	73.53194975
630	73.35727996
631	73.14340171
632	72.69381167
633	72.45459212
634	72.07384671
635	72.0008087
636	71.59977464
637	71.17489084
638	70.75386742
639	70.68305847
640	70.46741391
641	70.43924219
642	70.27237231
643	70.1094122
644	69.68476266
645	69.45811372
646	69.13688779
647	68.85945648
648	68.81480414
649	68.75780715
650	68.43314611
651	68.19651292
652	67.87288902
653	67.54453513
654	67.32268381
655	66.86498112
656	66.58413108
657	66.36692878
658	65.93737146
659	65.47225595
660	65.22776878
661	64.97177757
662	64.71012758
663	64.50512715
664	64.4675758
665	64.21052841
666	63.74729016
667	63.71383964
668	63.40124026
669	63.34565469
670	63.08113559
671	62.75457679
672	62.72505352
673	62.38458398
674	62.16093446
675	61.85109256
676	61.55522696
677	61.52107539
678	61.20665712
679	61.03566985
680	60.65913294
681	60.39243507
682	60.35312027
683	60.09474889
684	59.80201803
685	59.39719559
686	59.1997292
687	58.80141869
688	58.6488916
689	58.3722706
690	58.0996443
691	57.84270832
692	57.49025958
693	57.20539039
694	56.96137377
695	56.76399443
696	56.54953204
697	56.45348563
698	56.3026734
699	55.97532185
700	55.6132055
701	55.33305019
702	55.1837958
703	54.99142455
704	54.71069384
705	54.46219474
706	54.18609428
707	53.92345495
708	53.72635429
709	53.29988793
710	53.12333377
711	52.81596099
712	52.65762912
713	52.53698606
714	52.1216386
715	51.92621981
716	51.54611993
717	51.36577786
718	51.14143328
719	50.90303746
720	50.78645253
721	50.64773497
722	50.53344779
723	50.33952246
724	50.20563705
725	49.99267505
726	49.9538076
727	49.6871609
728	49.65482686
729	49.62149993
730	49.35556138
731	49.12184909
732	49.05891367
733	48.80007705
734	48.72480488
735	48.65486632
736	48.39989051
737	48.20199001
738	47.88657303
739	47.49499407
740	47.21194328
741	46.91478728
742	46.66490318
743	46.51595026
744	46.2420768
745	46.08232728
746	46.05735219
747	45.79857632
748	45.77467548
749	45.68548942
750	45.3480375
751	45.23893272
752	45.18553421
753	45.14975486
754	44.93844722
755	44.64305971
756	44.45992779
757	44.18193356
758	43.94214431
759	43.68428053
760	43.49789662
761	43.30014926
762	43.08751208
763	43.062201
764	42.98395748
765	42.79503668
766	42.66692415
767	42.43875883
768	42.12105501
769	41.9282777
770	41.71917799
771	41.67954623
772	41.34576549
773	41.11063557
774	40.86719702
775	40.82268605
776	40.79733332
777	40.67982484
778	40.65733252
779	40.63227387
780	40.40142983
781	40.24906417
782	40.06643264
783	39.89927085
784	39.7677402
785	39.65483314
786	39.49345953
787	39.46969801
788	39.43756028
789	39.31082494
790	39.18272106
791	39.15782182
792	39.0143194
793	38.74499678
794	38.56648781
795	38.34227982
796	38.15441033
797	37.95412478
798	37.79965498
799	37.63509282
800	37.38853964
801	37.27129607
802	37.21938816
803	37.06424597
804	36.92842764
805	36.90678324
806	36.68681849
807	36.66335974
808	36.53782631
809	36.38955409
810	36.22950317
811	36.11826956
812	35.97323585
813	35.8367151
814	35.80547437
815	35.78831265
816	35.65707361
817	35.57772671
818	35.45363671
819	35.21585653
820	35.02625167
821	34.93847473
822	34.72228623
823	34.61991945
824	34.60475149
825	34.54269636
826	34.46827721
827	34.384512
828	34.19165098
829	33.93654164
830	33.82874279
831	33.73692046
832	33.64713628
833	33.61990334
834	33.59476584
835	33.42181083
836	33.28526674
837	33.15938472
838	33.131689
839	33.00684558
840	32.91097282
841	32.69912868
842	32.64853603
843	32.50563062
844	32.37044175
845	32.25441758
846	32.17072603
847	31.99802681
848	31.83188877
849	31.66120833
850	31.60047664
851	31.52203291
852	31.33365209
853	31.17887488
854	31.07183113
855	30.96637395
856	30.8488387
857	30.69984213
858	30.56852398
859	30.3732127
860	30.21909841
861	30.10923134
862	29.96762171
863	29.86352686
864	29.72291722
865	29.57936903
866	29.43155528
867	29.25740795
868	29.13933624
869	28.9480104
870	28.85057205
871	28.68194609
872	28.54587937
873	28.49095552
874	28.31568535
875	28.13787326
876	28.02061704
877	27.86206913
878	27.80400233
879	27.65131506
880	27.54538347
881	27.44480927
882	27.38829061
883	27.25347663
884	27.14784488
885	27.05465813
886	26.93046561
887	26.83571656
888	26.69713835
889	26.62458022
890	26.57526074
891	26.41509376
892	26.33666966
893	26.2287467
894	26.16320926
895	26.09192249
896	26.07623083
897	26.06321992
898	25.97937669
899	25.84464261
900	25.7636129
901	25.73456638
902	25.63192528
903	25.50939782
904	25.42768127
905	25.30343996
906	25.17959362
907	25.14893459
