iter	RMSE
0	223995.483111	220291.074922	216208.2627
3	212011.1507
4	208422.7016
5	205319.9289
6	201850.9701
7	198897.5358	8	195993.0319	196717.6091
10	193888.286
11	191671.9386
12	189623.6554
13	187697.1785
14	185799.3827
15	15	180234.3016	182263.5132
17	180585.142
18	179089.5491
19	177416.6094
20	176191.7194
21	174953.8286
22	173707.555
23	172633.5245
24	171599.9683
25	170588.1949
26	169254.2964
27	168169.9793
28	167304.2638
29	166108.9968
30	165533.1517
31	164799.354
32	164034.6816
33	163289.2059
34	162414.1085
35	161710.9043
36	161021.226
37	160223.8348
38	159594.9349
39	159061.2835
40	158482.3128
41	157306.4991
42	156525.6707
43	155851.6753
44	155458.7983
45	154821.0474
46	154411.9028
47	153789.0208
48	153034.5648
49	152161.5195
50	151663.2351
51	151306.0647
52	150438.4852553	150159.5332
54	149599.4438
55	149202.467
56	148627.1702
57	148124.0442558	147731.403
59	147508.0713
60	146987.1609
61	146653.9155
62	146404.0664
63	145906.4407664	145665.8228665	145505.5929666	145038.2544667	144586.7437668	144223.2895669	143790.4056770	143344.7235771	142704.6572	72	142353.5773	73	141760.0974	74	141646.2968
75	141373.3889
76	140979.377	177	140467.578	178	139902.079	179	139715.180	180	139333.381	181	139068.982	182	138727.083	183	138397.184	136118.508
85	85	137462.808686	137136.79687	135264.2754
8888	136351.1589	134957.5433
90	134684.7009
91	91	135645.919292	135427.6309393	135078.66394	133307.7076
95	132909.4032
96	132658.4312
97	132370.9485
98	131970.6502
99	131706.4438
100	131567.0859
101	131307.2446
102	130962.5051
103	130597.2534
104	130438.9925
105	130296.5941
106	129983.938
107	129649.935
108	129568.8872
109	129161.7542
110	129002.5199
111	128823.7252
112	128658.581
113	128425.0416
114	128162.7827
115	128056.0517
116	127953.5822
117	127720.9042
118	127534.1581
119	127332.7805
120	127106.5583
121	127001.7265
122	126826.6177
123	126712.1713
124	126548.9212
125	126462.4319
126	126234.9811
127	126156.1612
128	125986.4205
129	125789.2003
130	125643.4635
131	125574.1499
132	125373.6212
133	125156.5315
134	124997.2141
135	124905.4729
136	124660.5462
137	124546.9031
138	124486.5811
139	124276.5528
140	124178.1682
141	124054.3183
142	123828.8926
143	123711.7147
144	123662.1424
145	123470.5537
146	123433.328
147	123265.7513
148	123113.9186
149	122921.9705
150	122740.2517
151	122603.2537
152	122489.087
153	122343.2473
154	122211.835
155	122028.3251
156	121988.0799
157	121866.7795
158	121733.39715159	121580.438160	122090.4156
161	121959.3824
162	121884.5381
163	121761.7982
164	121609.2708
165	121462.3372
166	121319.4961
167	121202.251
16168	121970.72116169	121902.4154
170	121718.7586
171	121586.1004
172	121461.3458
173	121414.0375
174	121243.8948
175	121153.0464
176	121085.6498
177	120947.1588
178	120789.6579
179	120725.2304
180	120534.1612
181	120506.208
182	120392.4731
183	120249.5009
184	120109.3261
185	119984.4357
186	119950.7688
187	119890.3813
188	119759.3863
189	119626.7567
190	119561.1817
191	119466.0054
192	119341.3699
193	119120.8977
194	118892.0504
195	118850.1594
196	118762.3735
197	118624.2766
198	118511.3438
199	118437.3759
200	118337.2107
201	118188.3464
202	118098.9759
203	118013.5344
204	117893.8027
205	117796.281
206	117683.5967
207	117594.0747
208	117490.9131
209	117384.7222
210	117284.7422
211	117127.6494
212	117022.7221
213	116945.619
214	116869.6864
215	116791.7484
216	116702.0938
217	116617.6467
218	116538.0774
219	116390.2502
220	116315.1172
221	116230.6057
222	116158.4256
223	116106.694
224	115941.2998
225	115871.2455
226	115753.1905
227	115675.0707
228	115641.6972
229	115547.223
230	115494.746
231	115427.9216
232	115348.2487
233	115314.4304
234	115237.5302
235	115174.1632
236	115099.8729
237	115027.3128
238	114968.1931
239	114898.7387
240	114792.2839
241	114711.8361
242	114650.6503
243	114587.7043
244	114491.5027
245	114433.5784
246	114377.2551
247	114277.1742
248	114223.2205
249	114163.7506
250	114091.84
251	114064.2746
252	113933.2597
253	113892.4011
254	113774.6752
255	113716.903
256	113686.2275
257	113589.1718
258	113531.5588
259	113502.5807
260	113457.3775
261	113429.6157
262	113361.4241
263	113318.0083
264	113268.9948
265	113248.6725
266	113208.8782
267	113163.0778
268	113115.7097
269	113068.5397
