iter	Passed	Remaining
0	184	184003
1	206	10325522	237	7903133	266	66293
4	287	5728855	308	51169
6	332	4714277	364	4515588	388	428229	462	45748
10	554	49886
11	622	51235
12	685	52015
13	723	50936
14	765	50252
15	804	49498
16	863	49922
17	915	49950
18	1009	52127
19	1106	54217
20	1152	53706
21	1225	54474
22	1291	54875
23	1360	55324
24	1396	54472
25	1457	54611
26	1497	53961
27	1525	52964
28	1567	52493
29	1602	51822
30	1651	51629
31	1669	50490
32	1744	51110
33	1767	50231
34	1793	49440
35	1836	49176
36	1873	48749
37	1901	48131
38	1925	47436
39	1956	46953
40	1976	46235
41	2000	45627
42	2046	45537
43	2070	44986
44	2110	44797
45	2185	45330
46	2217	44965
47	2248	44603
48	2274	44134
49	2299	43694
50	2331	43383
51	2346	42782552	2379	42523553	2414	42305
54	2443	41983
55	2473	41693
56	2498	41334
57	2519	40921558	2551	40691
59	2604	40805660	2659	40935
61	2691	40726
62	2724	40515
63	2733	39976664	2766	39790665	2791	39502666	2818	39250667	2853	39107668	2882	38897669	2912	38691770	2943	38514771	2979	38399772	3004	38153773	3051	38182774	3084	38044
75	3108	37798
76	3127	37488777	3147	37200778	3173	36997779	3200	36800880	3218	36516881	3246	36339882	3263	36055883	3286	3584084	3364	36212
885	3330	35392886	3349	3514787	3422	35464
888	3396	3477089	3484	35236
90	3510	35069
991	3475	34300992	3503	34164993	3520	3392894	3594	34245
95	3619	34087
96	3647	33951
97	3675	33831
98	3696	33644
99	3716	33450
100	3745	33335
101	3769	33186
102	3788	32995
103	3819	32906
104	3846	32783
105	3863	32581
106	3886	32434
107	3911	32309
108	3948	32272
109	3978	32185
110	3999	32035
111	4022	31890
112	4041	31720
113	4068	31616
114	4089	31474
115	4111	31334
116	4144	31275
117	4169	31165
118	4193	31042
119	4217	30927
120	4235	30768
121	4255	30625
122	4272	30460
123	4304	30406
124	4332	30328
125	4363	30266
126	4393	30201
127	4409	30040
128	4444	30006
129	4459	29843
130	4487	29771
131	4513	29679
132	4545	29628
133	4564	29498
134	4596	29451
135	4618	29341
136	4645	29262
137	4667	29152
138	4691	29062
139	4713	28952
140	4735	28851
141	4764	28787
142	4785	28678
143	4840	28774
144	4863	28675
145	4895	28633
146	4931	28618
147	4962	28566
148	4997	28541
149	5032	28518
150	5046	28374
151	5086	28374
152	5104	28259
153	5139	28231
154	5171	28194
155	5180	28028
156	5189	27866
157	5198	27705
158	5208	27548
159	5218	27396
1160	5188	27035
161	5232	27068
162	5280	27114
163	5324	27141
164	5334	26994
165	5344	26851
166	5355	26711
167	5365	265168	5430	26704
169	5453	26625
170	5474	26540
171	5500	26479
172	5532	26448
173	5551	26354
174	5571	26264
175	5599	26214
176	5628	26169
177	5648	26084
178	5678	26045
179	5711	26017
180	5742	25984
181	5769	25931
182	5796	25877
183	5835	25879
184	5877	25893
185	5911	25872
186	5953	25884
187	5985	25851
188	6018	25826
189	6042	25762
190	6066	25697
191	6087	25618
192	6118	25585
193	6146	25534
194	6187	25542
195	6221	25521
196	6250	25477
197	6270	25400
198	6289	25314
199	6300	25203
200	6317	25113
201	6349	25083
202	6405	25149
203	6435	25109
204	6457	25043
205	6494	25033
206	6525	25000
207	6554	24958
208	6594	24958
209	6629	24937
210	6656	24889
211	6684	24845
212	6727	24857
213	6750	24795
214	6771	24722
215	6793	24656
216	6824	24626
217	6846	24558
218	6874	24517
219	6906	24487
220	6943	24474
221	6965	24411
222	6995	24373
223	7034	24370
224	7062	24325
225	7093	24293
226	7131	24286
227	7174	24291
228	7214	24290
229	7267	24329
230	7294	24282
231	7313	24210
232	7334	24142
233	7362	24100
234	7382	24031
235	7402	23962
236	7423	23900
237	7463	23894
238	7484	23831
239	7499	23747
240	7526	23704
241	7543	23627
242	7569	23580
243	7587	23507
244	7615	23466
245	7643	23428
246	7682	23422
247	7715	23395
248	7740	23344
249	7770	23312
250	7796	23265
251	7821	23217
252	7849	23176
253	7878	23137
254	7906	23098
255	7920	23018
256	7952	22991
257	7975	22937
258	8000	22888
259	8041	22888
260	8078	22873
261	8115	22861
262	8147	22830
263	8174	22789
264	8204	22755
265	8234	22721
266	8264	22689
267	8312	22703
268	8343	22673
269	8370	22630
270	8395	22584
271	8418	22532
272	8453	22512
273	8481	22471
274	8507	22430
275	8538	22399
276	8575	22381
277	8586	22299
278	8610	22252
279	8636	22208
280	8657	22153
281	8681	22104
282	8710	22069
283	8748	22056
284	8762	21982
285	8784	21931
286	8813	21895
287	8834	21841
288	8861	21802
289	8883	21748
290	8897	21679
291	8917	21621
292	8939	21571
293	8958	21512
294	8978	21457
295	9009	21428
296	9034	21385
297	9054	21329
298	9073	21272
299	9096	21224
300	9115	21169
301	9137	21119
302	9162	21076
303	9182	21022
304	9198	20960
305	9219	20910
306	9247	20874
307	9272	20833
308	9299	20795
309	9325	20755
310	9363	20744
311	9395	20719
312	9418	20673
313	9436	20616
314	9450	20551
315	9477	20515
316	9512	20494
317	9532	20443
318	9560	20410
319	9584	20367
320	9601	20308
321	9620	20256
322	9644	20213
323	9662	20159
324	9688	20121
325	9718	20092
326	9743	20052
327	9776	20030
328	9811	20010
329	9815	19929
330	9857	19922
331	9876	19872
332	9906	19842
333	9936	19813
334	9965	19782
335	9989	19741
336	10020	19713
337	10038	19661
338	10074	19644
339	10096	19600
340	10133	19583
341	10161	19551
342	10187	19513
343	10209	19468
344	10239	19440
345	10273	19418
346	10300	19384
347	10316	19328
348	10338	19283
349	10367	19253
350	10389	19209
351	10406	19157
352	10426	19109
353	10440	19053
354	10461	19008
355	10482	18962
356	10494	18901
357	10522	18870
358	10537	18814
359	10564	18781
360	10587	18741
361	10605	18690
362	10615	18627
363	10634	18582
364	10647	18523
365	10676	18494
366	10699	18454
367	10716	18404
368	10735	18358
369	10755	18312
370	10780	18277
371	10795	18223
372	10823	18194
373	10835	18136
374	10854	18090
